NAME,CATEGORY
PAYROLL NETWORK (PAYROLL),SALARY & PAYROLL
PC CONNECTION,SOFTWARE & TECHNOLOGY
PC PAYROLL,SALARY & PAYROLL PROCESSING FEES
PCMS LLC,ACCOUNTING & FINANCIAL MANAGEMENT
PDG STRATEGIES,CAMPAIGN CONSULTING
PDQ PRINTING OF LAS VEGAS,PRINTING
PDR RESOURCES,"PR, COMMUNICATIONS, & MARKETING"
PEARSON & ASSOCIATES,FUNDRAISING & FUNDRAISING CONSULTING
PEG PA ENTERTAINMENT GROUP,EVENT EXPENSES
PEM MANAGEMENT,CAMPAIGN CONSULTING
PEOPLE FOR GOVERNMENT PAC,POLITICAL FUNDS & GROUPS
PEOPLE WHO THINK,"PR, COMMUNICATIONS, & MARKETING"
PERKINS COIE,LEGAL SERVICES
PERSON 2 PERSON,FUNDRAISING & FUNDRAISING CONSULTING
PESCADOR PUBLIC STRATEGIES,CAMPAIGN CONSULTING
PFC CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
PG PLACEMENTS,MEDIA & ADS
PINNACLE DIRECT,DIRECT MAIL
PINNACLE LIST COMPANY,CAMPAIGN CONSULTING
PIVOTAL TARGETING,CAMPAIGN CONSULTING
PJC REALTY TRUST,OFFICE EXPENSES
PLANET DIRECT MAIL,DIRECT MAIL
PLANNED PARENTHOOD ACTION FUND,POLITICAL FUNDS & GROUPS
PLATFORM MARKETING,"PR, COMMUNICATIONS, & MARKETING"
PLUVIOUS GROUP,FUNDRAISING & FUNDRAISING CONSULTING
PNC BANK,CREDIT CARD PAYMENT & BANK FEES
POINT1,DIGITAL & SOCIAL MEDIA CONSULTING
POLESTAR,TRAVEL & LODGING
POLICY MARKETING SERVICES,"PR, COMMUNICATIONS, & MARKETING"
POLITICAL COMPLIANCE MANAGEMENT SERVICES,CAMPAIGN CONSULTING
POLITICAL DATA INC,DATA & DATABASE SERVICES
POLITICAL FUNDRAISING GROUP,CAMPAIGN CONSULTING
POLITICAL INK,CAMPAIGN CONSULTING
POLITICAL MARKETING SERVICES,CAMPAIGN CONSULTING
POLITICAL TRAVEL PARTNERS,CAMPAIGN CONSULTING
POLITICAUSE,COMPLIANCE SERVICES
POLITICS & PROSE,GENERAL OPERATIONS & SUPPLIES
POOLHOUSE,MEDIA & ADS
POPPIN INC,OFFICE EXPENSES
PORCHLIGHT BOOK COMPANY,GENERAL OPERATIONS & SUPPLIES
PORTER WRIGHT MORRIS & ARTHUR LLP,CAMPAIGN CONSULTING
POSTAGE FOR DIRECT MAIL FUNDRAISING,DIRECT MAIL
UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),SHIPPING & POSTAGE
POTOMAC WAVES,MEDIA & ADS
PRECISION PAYROLL OF AMERICA,SALARY & PAYROLL PROCESSING FEES
PRECISION STRATEGIES,DIGITAL ADVERTISING
PREFERRED COMMUNICATIONS,OFFICE EXPENSES
PREMIERE TRANSPORTATION,TRAVEL & LODGING
PRESIDIO NETWORKED SOLUTIONS GROUP,SOFTWARE & TECHNOLOGY
PRESTIGE WW INC,"PR, COMMUNICATIONS, & MARKETING"
PRI PRODUCTIONS,MEDIA & ADS
PRIME MEDIA PARTNERS,MEDIA & ADS
PRIMEPAY,SALARY & PAYROLL PROCESSING FEES
PRINT FOR PROGRESS,PRINTING
PRINT MAIL COMMUNICATIONS,DIRECT MAIL
PRISM COMMUNICATIONS,SHIPPING & POSTAGE
PRIVATE JET SERVICES GROUP LLC,TRAVEL & LODGING
PRO PRODUCTION SERVICES,MEDIA & ADS
PRO SPEAKING,FUNDRAISING & FUNDRAISING CONSULTING
PROACTIVE COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
PRODUCTION DESIGN ASSOCIATES,EVENT EXPENSES
PRODUCTION MANAGEMENT ONE,MEDIA & ADS
PROFESSIONAL DATA SERVICES,DATA & DATABASE SERVICES
PROFESSIONAL PRINT & MAIL,PRINTING
PROGRESS PLEASE,POLITICAL FUNDS & GROUPS
PROLIST,PRINTING
PSW RESEARCH,POLLING & RESEARCH
PUBLIC AFFAIRS SUPPORT SERVICES,COMPLIANCE SERVICES
PUBLIC INTEREST COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
PUBLIC OPINION STRATEGIES,POLLING & RESEARCH
PUBLIC POLICY POLLING/RESEARCH,POLLING & RESEARCH
PURCELL CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
PUSH DIGITAL,DIGITAL & SOCIAL MEDIA CONSULTING
PUTNAM PARTNERS,MEDIA & ADS
QTI HUMAN RESOURCES,SALARY & PAYROLL PROCESSING FEES
QUAD SYSTEMS,OFFICE EXPENSES
QUANTUM JETS,TRAVEL & LODGING
QUICKBASE,SOFTWARE & TECHNOLOGY
R3 LLC,SOFTWARE & TECHNOLOGY
RAGNAR RESEARCH PARTNERS,POLLING & RESEARCH
RAINMAKER AD VENTURES,TRAVEL & LODGING
RALSTON LAPP MEDIA,MEDIA & ADS
RANGER INDUSTRIES,GENERAL OPERATIONS & SUPPLIES
RAPID LOOP CONSULTING,COMPLIANCE SERVICES
RAPID RETURNS,DIRECT MAIL
RCBS PAYROLL SERVICES,SALARY & PAYROLL PROCESSING FEES
REACH PROGRESS PBC,SOFTWARE & TECHNOLOGY
REACH RIGHT,WEBSITE SERVICES
REAGAN INVESTMENTS,ACCOUNTING & FINANCIAL MANAGEMENT
RED CURVE SOLUTIONS,COMPLIANCE SERVICES
RED HORSE STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
RED MAVERICK MEDIA,MEDIA & ADS
RED OAK STRATEGIC,CAMPAIGN CONSULTING
RED RIVER CO,FUNDRAISING & FUNDRAISING CONSULTING
RED ROCK STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
RED STAR PICTURES,MEDIA & ADS
REDPRINT STRATEGY,MEDIA & ADS
REDRIGHT STRATEGIES,CAMPAIGN CONSULTING
REDWAVE COMMUNICATIONS,DIRECT MAIL
REGUS MANAGEMENT GROUP,OFFICE EXPENSES
REID POLITICAL CONSULTING,CAMPAIGN CONSULTING
REMINGTON RESEARCH GROUP,POLLING & RESEARCH
REPRISE CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
REPUBLICAN NATIONAL COMMITTEE (RNC),POLITICAL FUNDS & GROUPS
RESIDENTIAL PROGRAMS,FUNDRAISING & FUNDRAISING CONSULTING
RESISTANCE LABS,LEGAL SERVICES
RESONANCE CAMPAIGNS,PRINTING
RESPONSE AMERICA,DIRECT MAIL
RETROMEDIA,MEDIA & ADS
RETURN PATH,DIGITAL & SOCIAL MEDIA CONSULTING
REVOLUTION FIELD STRATEGIES,CAMPAIGN CONSULTING
REVOLUTION MESSAGING,DIGITAL ADVERTISING
REVV,CREDIT CARD PROCESSING FEES
REWIRED,SOFTWARE & TECHNOLOGY
RIGHT COUNTRY LISTS,FUNDRAISING & FUNDRAISING CONSULTING
RIGHT VOTER,CAMPAIGN CONSULTING
RIGHTSIDE COMPLIANCE,COMPLIANCE SERVICES
RING LIMITED,MEDIA & ADS
RISING TIDE INTERACTIVE,DIGITAL ADVERTISING
RISING TIDE MEDIA GROUP,MEDIA & ADS
RITZ CARLTON,TRAVEL & LODGING
RIVAL STRATEGY GROUP,"PR, COMMUNICATIONS, & MARKETING"
RIVER CITY BUSINESS SERVICES,SALARY & PAYROLL PROCESSING FEES
RIVER RIGHT,TRAVEL & LODGING
RIZZO DUKES GROUP,FUNDRAISING & FUNDRAISING CONSULTING
ROCK CHALK MEDIA,MEDIA & ADS
ROKU,SOFTWARE & TECHNOLOGY
ROLLA GROUP,FUNDRAISING & FUNDRAISING CONSULTING
ROSE STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
ROUND WORLD CONSULTING,COMPLIANCE SERVICES
RSH CAMPAIGNS,DIGITAL ADVERTISING
RST MARKETING,"PR, COMMUNICATIONS, & MARKETING"
RUMBLEUP,SOFTWARE & TECHNOLOGY
RUN THE WORLD,DIGITAL ADVERTISING
RUSSO MARSH & ASSOCIATES INC,CAMPAIGN CONSULTING
RWT PRODUCTIONS,DIRECT MAIL
SABER COMMUNICATIONS,CAMPAIGN CONSULTING
SADA SYSTEMS,DATA & DATABASE SERVICES
SADOUX PRODUCTIONS,MEDIA & ADS
SAGE MEDIA,MEDIA & ADS
SAGUARO STRATEGIES,CAMPAIGN CONSULTING
SALESFORCE,SOFTWARE & TECHNOLOGY
SANDLER INNOCENZI,MEDIA & ADS
SANDLER REIFF LAMB ROSENSTEIN & BIRKENSTOCK,LEGAL SERVICES
SAPPHIRE STRATEGIES,DIGITAL ADVERTISING
SB DIGITAL,DIGITAL ADVERTISING
SCHIMANSKI & ASSOCIATES,FUNDRAISING & FUNDRAISING CONSULTING
SCHOEN COOPERMAN SURVEY RESEARCH,POLLING & RESEARCH
STEPHANIE SCHRIOCK,REIMBURSEMENT
SCM ASSOCIATES,DIRECT MAIL
SCOTT HOWELL & COMPANY,MEDIA & ADS
SCRB STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
SCREEN STRATEGIES MEDIA,MEDIA & ADS
SEA ISLAND COMPANY,LEGAL SERVICES
SEASIDE COMMUNICATIONS,FUNDRAISING & FUNDRAISING CONSULTING
SEILER,ACCOUNTING & FINANCIAL MANAGEMENT
SERVICE EMPLOYEES INTERNATIONAL UNION (SEIU),POLITICAL FUNDS & GROUPS
SENA KOZAR STRATEGIES,MEDIA & ADS
SEPTEMBER GROUP,CAMPAIGN CONSULTING
SES STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
SEVEN CORNERS PRINTING,PRINTING
SEWARD SQUARE STRATEGIES,DIGITAL & SOCIAL MEDIA CONSULTING
SFC CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
SFC SECURITY & INTELLIGENCE,LEGAL SERVICES
SHERIDAN STRATEGIES,CAMPAIGN CONSULTING
SHOPIFY,GENERAL OPERATIONS & SUPPLIES
SHORESTART,MEDIA & ADS
SIEGEL STRATEGIES,MEDIA & ADS
SIERRA HILLS CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
SILVER STRATEGIES & COMMUNICATIONS GROUP,CAMPAIGN CONSULTING
SIMPLE DATA CONCEPTS,DATA & DATABASE SERVICES
SINCLAIR STRATEGIES,CAMPAIGN CONSULTING
SISNEROS STRATEGIES,CAMPAIGN CONSULTING
SIXTEEN THIRTY FUND,POLITICAL FUNDS & GROUPS
SKDKNICKERBOCKER LLC,MEDIA & ADS
SLACK,SOFTWARE & TECHNOLOGY
SMART MEDIA GROUP,MEDIA & ADS
SMGBOK CENTER,EVENT EXPENSES
SMS DIRECT,DIRECT MAIL
SNYDER PICKERILL MEDIA,MEDIA & ADS
SOCKO STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
SODEXO INC,MEALS & CATERING
SOLAIRUS AVIATION,TRAVEL & LODGING
SOLIDARITY STRATEGIES,CAMPAIGN CONSULTING
SOMETHING ELSE STRATEGIES,MEDIA & ADS
SOROS FUND MANAGEMENT,ACCOUNTING & FINANCIAL MANAGEMENT
SOUTHWEST AIRLINES,TRAVEL & LODGING
SOUTHWEST PUBLISHING & MAILING,SHIPPING & POSTAGE
SPECTRUM,UTILITIES
SPECTRUM MARKETING COMPANIES,"PR, COMMUNICATIONS, & MARKETING"
SPIROS CONSULTING,CAMPAIGN CONSULTING
SPOT ON,LEGAL SERVICES
SPOTIFY,SOFTWARE & TECHNOLOGY
SRCP MEDIA,MEDIA & ADS
SRH MEDIA,MEDIA & ADS
SSC STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
STACY DAVIS & ASSOCIATES,FUNDRAISING & FUNDRAISING CONSULTING
STAMPEDE AMERICA,CANVASSING & FIELD WORK
STAND TOGETHER CHAMBER OF COMMERCE,ACCOUNTING & FINANCIAL MANAGEMENT
STANDARD PRACTICE,CAMPAIGN CONSULTING
STAPLES,OFFICE EXPENSES
STARBOARD COMMUNICATIONS AGENCY,FUNDRAISING & FUNDRAISING CONSULTING
STATES MADE,GENERAL OPERATIONS & SUPPLIES
STELLA MANAGEMENT,TRAVEL & LODGING
STEVE BROWN DIRECT MARKETING,DIRECT MAIL
STG LLC,"PR, COMMUNICATIONS, & MARKETING"
STICK AND RUDDER STRATEGIES,CAMPAIGN CONSULTING
STOMPY,COMPLIANCE SERVICES
STONES PHONES,UTILITIES
STOREFRONT POLITICAL MEDIA,MEDIA & ADS
STORYTELLERS GROUP,DIRECT MAIL
STRATEGIC ADVANCE SERVICES,MEDIA & ADS
STRATEGIC IMPACT,CAMPAIGN CONSULTING
STRATEGIC MEDIA PLACEMENT,MEDIA & ADS
STRATEGIC MEDIA SERVICES,MEDIA & ADS
STRATEGIC PARTNERS & MEDIA,MEDIA & ADS
STRATEGIC PERCEPTION,MEDIA & ADS
STRATEGIES 360,POLLING & RESEARCH
STRATHDEE GROUP,FUNDRAISING & FUNDRAISING CONSULTING
STRATICS NETWORKS,UTILITIES
STRAUSBAKER,LEGAL SERVICES
STRIPE,CREDIT CARD PROCESSING FEES
STU LOESER & CO,"PR, COMMUNICATIONS, & MARKETING"
SULLIVAN ALVARADO,FUNDRAISING & FUNDRAISING CONSULTING
SUMMIT STRATEGIC COMMUNICATIONS,CAMPAIGN CONSULTING
SUNRISE DATA SERVICES,DATA & DATABASE SERVICES
SUPER COLOR DIGITAL,PRINTING
SUSAN GAGE CATERERS,MEALS & CATERING
SWAYABLE,GENERAL OPERATIONS & SUPPLIES
SWING STATE STRATEGY,CAMPAIGN CONSULTING
T9 TALENT,GENERAL OPERATIONS & SUPPLIES
TAG LLC,FUNDRAISING & FUNDRAISING CONSULTING
TALENT PAYMASTER,MEDIA & ADS
TARGET ENTERPRISES,MEDIA & ADS
TARGET POINT CONSULTING,POLLING & RESEARCH
TARGETED CREATIVE COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
TARGETED ENTERPRISES,MEDIA & ADS
TARGETED PLATFORM MEDIA,MEDIA & ADS
TARGETED VICTORY,CREDIT CARD PROCESSING FEES
TARGETSMART COMMUNICATIONS,DATA & DATABASE SERVICES
TATANGO,ACCOUNTING & FINANCIAL MANAGEMENT
TAYLOR COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
TEACH TO LEAD,CAMPAIGN CONSULTING
TEALIUM,DATA & DATABASE SERVICES
TECHCENTRICS,ACCOUNTING & FINANCIAL MANAGEMENT
TEMPUS NOVA,SOFTWARE & TECHNOLOGY
THE BAKER GROUP,CAMPAIGN CONSULTING
THE BARBARIAN GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE BREAKERS,TRAVEL & LODGING
THE CALL CENTER,TRAVEL & LODGING
THE COEFFICIENT GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE CONRAD GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE CONTACT CENTER,DIRECT MAIL
THE DATA CENTER,DATA & DATABASE SERVICES
THE ELEVATED GROUP,EVENT EXPENSES
THE ENDICOTT GROUP,ACCOUNTING & FINANCIAL MANAGEMENT
THE EPPSTEIN GROUP,"PR, COMMUNICATIONS, & MARKETING"
THE FROST GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE GOBER GROUP,CAMPAIGN CONSULTING
THE GULA GRAHAM GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE HERSHEY COMPANY,GENERAL OPERATIONS & SUPPLIES
THE HIGH POINT GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE KAUFFMAN GROUP,GENERAL OPERATIONS & SUPPLIES
THE LARRISON GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE LAYMONT GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE LINCOLN PROJECT,POLITICAL FUNDS & GROUPS
THE LUKENS COMPANY,DIRECT MAIL
THE MAIL HAUS,DIRECT MAIL
THE MAJORITY INSTITUTE,POLLING & RESEARCH
THE MARKHAM GROUP,EVENT EXPENSES
THE MCINTOSH COMPANY,FUNDRAISING & FUNDRAISING CONSULTING
THE MELLMAN GROUP,CAMPAIGN CONSULTING
THE MERRILL STRATEGY GROUP,DIRECT MAIL
THE MONACO GROUP,DIRECT MAIL
THE MONEY WHEEL,COMPLIANCE SERVICES
THE MORNING GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE MOVEMENT COOPERATIVE,WEBSITE SERVICES
THE NEW MEDIA FIRM,MEDIA & ADS
THE OORBEEK GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE OPERATIONS GROUP,CAMPAIGN CONSULTING
THE OUTCAST AGENCY,WEBSITE SERVICES
THE OUTREACH TEAM,CANVASSING & FIELD WORK
THE PARKSIDE GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE PASS GROUP,CAMPAIGN CONSULTING
THE PERKEY GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE PIVOT GROUP,PRINTING
THE PROSPER GROUP,DIGITAL & SOCIAL MEDIA CONSULTING
THE RIZZO DUKES GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE SAHL COMPANY,"PR, COMMUNICATIONS, & MARKETING"
THE SEXTON GROUP,CAMPAIGN CONSULTING
THE SPOKEN HUB,CAMPAIGN CONSULTING
THE STANTON GROUP,OFFICE EXPENSES
THE STONERIDGE GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE STRATEGY GROUP,DIRECT MAIL
THE TARRANCE GROUP,POLLING & RESEARCH
THE TOWNSEND GROUP,FUNDRAISING & FUNDRAISING CONSULTING
THE TUCKER GROUP,"PR, COMMUNICATIONS, & MARKETING"
THE TRADE DESK,DIGITAL & SOCIAL MEDIA CONSULTING
THE VOYAGEUR COMPANY,DIRECT MAIL
THE WESTIN,TRAVEL & LODGING
THE WHITE HOUSE HISTORICAL ASSOCIATION,GENERAL OPERATIONS & SUPPLIES
THOMAS GRAPHICS,PRINTING
THOMPSON COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
THREE ARBOR INSURANCE,INSURANCE
THREE POINT MEDIA,MEDIA & ADS
TIDES ADVOCACY,CAMPAIGN CONSULTING
TIGEREYE PROMOTIONS,PRINTING
TM STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
TMA DIRECT,DIRECT MAIL
TOP AD CONSULTING,"PR, COMMUNICATIONS, & MARKETING"
TORCHSTONE GLOBAL,ACCOUNTING & FINANCIAL MANAGEMENT
TOSKR,DIGITAL ADVERTISING
TOWN & COUNTRY EVENT RENTALS,EVENT EXPENSES
TRAFALGAR GROUP,POLLING & RESEARCH
TRAILHEAD STRATEGIC COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
TREASURER OF THE UNITED STATES,MEDIA & ADS
TRIBORO PRINTING,PRINTING
TRILOGY INTERACTIVE,DIGITAL & SOCIAL MEDIA CONSULTING
TRIPACTIONS,TRAVEL & LODGING
TRISTATE ENVELOPE,PRINTING
TRISTER ROSS SCHADLER & GOLD PLLC,LEGAL SERVICES
TRUMP NATIONAL HOTELS,TRAVEL & LODGING
TRUMP TOWER,TRAVEL & LODGING
TRUXTON CREATIVE,MEDIA & ADS
TUCKER GREEN CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
TULCHIN RESEARCH,POLLING & RESEARCH
TUNSTALL MATTHEW,CAMPAIGN CONSULTING
TUSK DIGITAL,DIGITAL ADVERTISING
TWELVE OAKS,FUNDRAISING & FUNDRAISING CONSULTING
TWILIO,SOFTWARE & TECHNOLOGY
TWITTER,DIGITAL ADVERTISING
TWO DOTS TV,MEDIA & ADS
UBER,TRAVEL & LODGING
UBS,CREDIT CARD PAYMENT & BANK FEES
UHS PREMIUM BILLING,INSURANCE
ULTIPRO,SALARY & PAYROLL PROCESSING FEES
UNANIMOUS MEDIA,MEDIA & ADS
UNBUNDLED UNDERGROUND,MEDIA & ADS
UNIFIED DATA SERVICES,DATA & DATABASE SERVICES
UNION CAMPAIGN MERCHANDISE,GENERAL OPERATIONS & SUPPLIES
UNIONSOURCE,PRINTING
UNISOURCE DIRECT,DIRECT MAIL
UNITE HERE,POLITICAL FUNDS & GROUPS
UNITED AIRLINES,TRAVEL & LODGING
UNITED HEALTHCARE,INSURANCE
UNITED SUPPORT,TRAVEL & LODGING
UNLIMITED TECH SUPPORT,SOFTWARE & TECHNOLOGY
UPLAND,SOFTWARE & TECHNOLOGY
THE UPS STORE,SHIPPING & POSTAGE
US BANK,CREDIT CARD PAYMENT & BANK FEES
US COACHWAYS,TRAVEL & LODGING
USI INSURANCE SERVICES,INSURANCE
UTRECHT KLEINFELD FIORI PARTNERS,LEGAL SERVICES
V2 CONSULTING,FUNDRAISING & FUNDRAISING CONSULTING
VALTIM,SHIPPING & POSTAGE
VAN NESS CREATIVE STRATEGIES,FUNDRAISING & FUNDRAISING CONSULTING
VAR TECHNOLOGY FINANCE,ACCOUNTING & FINANCIAL MANAGEMENT
VENABLE,CAMPAIGN CONSULTING
VENSURE HR,SALARY & PAYROLL PROCESSING FEES
VERACITY MEDIA,MEDIA & ADS
VERDOLINO & LOWEY PC,ACCOUNTING & FINANCIAL MANAGEMENT
VERIZON,UTILITIES
VERTEX,CAMPAIGN CONSULTING
VEVO,DIGITAL & SOCIAL MEDIA CONSULTING
VEYOND,CREDIT CARD PAYMENT & BANK FEES
VICI MEDIA GROUP,MEDIA & ADS
VICTORY ENTERPRISES,CAMPAIGN CONSULTING
VICTORY MEDIA,MEDIA & ADS
VICTORY PHONES,UTILITIES
VISA,CREDIT CARD PAYMENT & BANK FEES
VOICE MEDIA,MEDIA & ADS
VOYA,SALARY & PAYROLL PROCESSING FEES
RICHARD WALTERS,SALARY & PAYROLL
WASHINGTON INTELLIGENCE BUREAU,POLITICAL FUNDS & GROUPS
WATERFRONT STRATEGIES,MEDIA & ADS
WATKINS SECURITY COMPANY,GENERAL OPERATIONS & SUPPLIES
WAVELENGTH STRATEGY,MEDIA & ADS
WCPA,DIRECT MAIL
WE ALSO WALK DOGS,SOFTWARE & TECHNOLOGY
WEBB PAYROLL SERVICES,SALARY & PAYROLL PROCESSING FEES
WELL & LIGHTHOUSE,COMPLIANCE SERVICES
WELLNESS COACHES USA,EVENT EXPENSES
WELLS FARGO,CREDIT CARD PAYMENT & BANK FEES
WESTWEST DIGITAL,DIGITAL & SOCIAL MEDIA CONSULTING
WHEELERHOUSE,CAMPAIGN CONSULTING
WHITE HOUSE HISTORICAL ASSOCIATION,GENERAL OPERATIONS & SUPPLIES
WHITE HOUSE MILITARY OFFICE,GENERAL OPERATIONS & SUPPLIES
WILAND DIRECT,"PR, COMMUNICATIONS, & MARKETING"
WILDFIRE CONTACT,"PR, COMMUNICATIONS, & MARKETING"
WILDFIRE MAIL,DIRECT MAIL
WILEY REIN,CAMPAIGN CONSULTING
WILKE COMMUNICATIONS,DIRECT MAIL
WILLIS OF NEW YORK,INSURANCE
WILLIS TOWERS WATSON,OFFICE EXPENSES
WILLKIE FARR & GALLAGHER,LEGAL SERVICES
WILMER CUTLER PICKERING HALE AND DORR,LEGAL SERVICES
WIN COMPANY,MEDIA & ADS
WIN CREATIVE,"PR, COMMUNICATIONS, & MARKETING"
WIN RED,CREDIT CARD PROCESSING FEES
WIN RIGHT DATA,DATA & DATABASE SERVICES
WINCO FUNDRAISING,FUNDRAISING & FUNDRAISING CONSULTING
WINDING CREEK STRATEGIES,CAMPAIGN CONSULTING
WINDWARD STRATEGIES,DIRECT MAIL
WINNING CONNECTIONS,"PR, COMMUNICATIONS, & MARKETING"
WINNING MARK,WEBSITE SERVICES
WINPISINGER & ASSOCIATES,COMPLIANCE SERVICES
WINTERMIND GROUP,FUNDRAISING & FUNDRAISING CONSULTING
WIZARD STUDIOS NORTH,MEDIA & ADS
WIZBANG SOLUTIONS,"PR, COMMUNICATIONS, & MARKETING"
WORKING AMERICA,FUNDRAISING & FUNDRAISING CONSULTING
WPA INTELLIGENCE (WPAI),POLLING & RESEARCH
WPP GROUP USA INC BREAKTHROUGH CAMPAIGNS,POLLING & RESEARCH
X STRATEGIES,CAMPAIGN CONSULTING
XL GRAPHICS,PRINTING
YAHOO,SOFTWARE & TECHNOLOGY
YELLOW LEAF,PRINTING
JASMINE ZAMANI,SALARY & PAYROLL
ZELDAVISION,LEGAL SERVICES
ZENEFITS (FEES),SALARY & PAYROLL PROCESSING FEES
ZENEFITS (PAYROLL TAX),PAYROLL TAX
ZENEFITS (PAYROLL),SALARY & PAYROLL
ZERO WEEK SOLUTIONS,CANVASSING & FIELD WORK
ZETA GLOBAL CORP,DIGITAL & SOCIAL MEDIA CONSULTING
ZIGNAL LABS,DIGITAL & SOCIAL MEDIA CONSULTING
ZIP MAILING SERVICES,SHIPPING & POSTAGE
ZOOM VIDEO COMMUNICATIONS,SOFTWARE & TECHNOLOGY
ZTRIBECA,MEDIA & ADS